77 hits shown

3,29,-506
1778,-24,27,-510
1780,-22,26,-512
1782,-26,28,-511
1784,-24,26,-512
1786,-24,29,-511
1787,-25,28,-511
1789,-24,27,-509
1792,-24,30,-512
1794,-23,27,-513
1796,-22,26,-513
1798,-21,26,-509
1800,-25,29,-509
1802,-25,30,-510
1803,-21,29,-508
1805,-23,28,-509
1807,-26,28,-510
1809,-24,30,-510
1811,-29,27,-513
1813,-24,25,-507
1815,-26,27,-508
1817,-25,27,-510
1818,-24,29,-510
1820,-22,26,-511
1822,-24,26,-511
1824,-24,28,-509
1826,-20,28,-511
1828,-24,27,-507
1830,-24,26,-511
1831,-23,28,-511
1833,-25,26,-510
1836,-21,27,-511
1838,-25,32,-510
1840,-26,31,-510
1842,-25,26,-510
1844,-24,29,-511
1846,-23,30,-510
1847,-25,28,-510
1849,-25,29,-510
1851,-25,29,-511
1853,-26,29,-512
1855,-25,29,-508
1857,-23,26,-511
1859,-25,27,-512
1861,-24,30,-512
1862,-21,28,-508
1864,-26,26,-509
1866,-24,30,-513
1868,-21,26,-507
1870,-25,25,-511
1872,-23,30,-511
1874,-23,26,-514
1876,-24,27,-508
1878,-24,28,-507
1880,-23,28,-509
1882,-24,29,-506
1884,-25,27,-512
1886,-26,28,-511
1888,-24,30,-512
1890,-23,29,-511
1891,-24,29,-511
1893,-24,28,-513
1895,-22,26,-512
1897,-22,28,-513
1899,-25,27,-509
1901,-22,28,-513
1903,-26,27,-509
1905,-24,27,-506
1906,-25,26,-508
1908,-24,26,-509
1910,-25,28,-509
1912,-26,26,-510
1914,-23,27,-511
1916,-24,27,-510
1918,-24,28,-509
1921,-24,26,-510
1922,-23,28,-511
1924,-23,26,-510
1926,-28,27,-510
1928,-21,26,-512
1930,-22,29,-509
1932,-22,28,-511
1934,-22,27,-510
1935,-24,28,-512
1937,-24,27,-510
1939,-24,26,-507
1941,-22,27,-511
1943,-23,27,-511
1945,-22,30,-508
1947,-22,29,-510
1949,-27,31,-508
1950,-26,28,-510
1952,-22,28,-512
1954,-23,31,-507
1956,-27,31,-509
1958,-23,29,-513
1960,-22,30,-511
1963,-24,33,-507
1965,-25,27,-509
1966,-23,27,-510
